"STATION","NAME","DATE","TAVG"
"US1TXPT0023","AMARILLO 1.6 W, TX US","2023-11-19",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2023-12-14",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2023-12-15",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2023-12-24",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-02-12",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-04-10",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-04-25",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-03",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-05",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-13",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-16",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-29",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-30",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-05-31",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-06-01",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-06-02",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-06-03",
"US1TXPT0023","AMARILLO 1.6 W, TX US","2024-06-07",
